model,status,epochs,val_acc,val_mcc,test_acc,test_mcc,time
RANDOM FOREST,DONE,1,0.5542,0.1072,0.5013,0.0048,0.1s
GRADIENT BOOST,DONE,1,0.5425,0.1130,0.4987,-0.0038,0.8s
MLP CLASSIFIER,DONE,1,0.5225,0.0545,0.5005,-0.0034,0.2s
LOGISTIC REGRESSION,DONE,1,0.4763,-0.0130,0.4909,-0.0190,0.0s
SGD LOG,DONE,1,0.5225,-0.0128,0.4911,-0.0168,0.3s
SGD HINGE,DONE,1,0.5249,-0.0218,0.4935,-0.0067,0.2s
PASSIVE AGGRESSIVE,DONE,1,0.4916,0.0375,0.5274,0.0559,0.0s
RIDGE,DONE,1,0.5722,0.1226,0.4882,0.0077,0.0s
PERCEPTRON,DONE,1,0.5018,0.0507,0.5261,0.0542,0.0s
LDA,DONE,1,0.4810,-0.0090,0.5116,0.0217,0.0s
QDA,PENDING,1,-,-,-,-,-
GAUSSIAN NB,PENDING,1,-,-,-,-,-
NEAREST CENTROID,PENDING,1,-,-,-,-,-
DECISION TREE,PENDING,1,-,-,-,-,-
EXTRA TREES,PENDING,1,-,-,-,-,-
ADABOOST,PENDING,1,-,-,-,-,-
CLASSICAL ALSTM,PENDING,150,-,-,-,-,-
